exact_match_pct,json_path,levenshtein_dist_mean,levenshtein_dist_median,levenshtein_norm_mean,levenshtein_similarity_pct,model_id,model_slug,model_type_guess,n_exact,n_scored,prompt_style,prompt_type,st_combined_all_four_pct,st_combined_caesura_field_pct,st_combined_end_field_pct,st_combined_mean_field_pct,st_combined_meter_field_pct,st_combined_meter_type_field_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_rhyme_field_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,task
0.0,results/round3/google_flan-t5-large/zero_shot_rhyme_only.json,7.226,6.0,0.9456,5.444,google/flan-t5-large,round3/google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740/zero_shot_combined_line_only.json,60.704,59.0,0.8689,13.111,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_160740/final_model_merged,round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
87.2,results/round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740/zero_shot_meter_only_line_only.json,0.208,0.0,0.0207,97.933,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_160740/final_model_merged,round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740,seq2seq,436,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740/zero_shot_rhyme_only_line_only.json,9.802,10.0,1.0,0.0,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_160740/final_model_merged,round3/meter_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_160740,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316/zero_shot_combined_line_only.json,67.878,66.0,0.9721,2.794,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_161316/final_model_merged,round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,results/round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316/zero_shot_meter_only_line_only.json,9.8,10.0,1.0,0.0,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_161316/final_model_merged,round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
84.6,results/round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316/zero_shot_rhyme_only_line_only.json,0.458,0.0,0.047,95.304,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr1e4/flan-t5-large_lora_20260415_161316/final_model_merged,round3/rhyme_only_lora_r3_lr1e4_flan-t5-large_lora_20260415_161316,seq2seq,423,500,line_only,zero_shot,,,,,,,,,,500,84.6,rhyme_only
0.0,results/round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858/zero_shot_combined_line_only.json,12.038,12.0,0.164,83.595,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr5e5/flan-t5-large_lora_20260415_184858/final_model_merged,round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858,seq2seq,0,500,line_only,zero_shot,0.2,39.2,81.0,37.56,49.8,15.8,500,100.0,2.0,,,combined
0.0,results/round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858/zero_shot_meter_only_line_only.json,18.584,18.0,0.6637,33.629,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr5e5/flan-t5-large_lora_20260415_184858/final_model_merged,round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858/zero_shot_rhyme_only_line_only.json,68.738,69.0,0.9482,5.182,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/combined_lora_r3_lr5e5/flan-t5-large_lora_20260415_184858/final_model_merged,round4/combined_lora_r3_lr5e5_flan-t5-large_lora_20260415_184858,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023/zero_shot_combined_line_only.json,60.648,59.0,0.8681,13.192,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_161023/final_model_merged,round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
81.2,results/round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023/zero_shot_meter_only_line_only.json,0.288,0.0,0.0289,97.113,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_161023/final_model_merged,round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023,seq2seq,406,500,line_only,zero_shot,,,,,,,,,,,,meter_only
0.0,results/round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023/zero_shot_rhyme_only_line_only.json,9.85,10.0,1.0,0.0,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/meter_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_161023/final_model_merged,round4/meter_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_161023,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,results/round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338/zero_shot_combined_line_only.json,67.878,66.0,0.972,2.796,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_184338/final_model_merged,round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338,seq2seq,0,500,line_only,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,results/round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338/zero_shot_meter_only_line_only.json,9.75,10.0,1.0,0.0,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_184338/final_model_merged,round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338,seq2seq,0,500,line_only,zero_shot,,,,,,,,,,,,meter_only
79.6,results/round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338/zero_shot_rhyme_only_line_only.json,0.716,0.0,0.0774,92.257,/home/span9810_ato22/scratch/Senior-Thesis/sft_full/rhyme_only_lora_r3_lr5e5/flan-t5-large_lora_20260415_184338/final_model_merged,round4/rhyme_only_lora_r3_lr5e5_flan-t5-large_lora_20260415_184338,seq2seq,398,500,line_only,zero_shot,,,,,,,,,,500,79.6,rhyme_only
