id,author,title
ojg27-w0450,"John Gay","FABLE [44] XLIV. The Hound and the Huntsman."
oat77-w0330,"Nahum Tate","The Ingrates."
o3555-w0130,"Anna Laetitia Barbauld  (née Aikin)","[SONG] I."
bjb18-w0300,"Joanna Baillie","SONG WRITTEN FOR THE STRAWBERRY HILL FOUNDLING PLAY, AND SUNG BY MRS. JOURDAIN."
bhw18-w0020,"Helen Maria Williams","PERUVIAN TALES."
o3900-w0970,"Rev. John Wesley","Another. From the same."
n22cs-w0390,"Charlotte Smith (née Turner)","SONNET [39] XXXIX. To Night. From the same."
pmt18-w0023,"Mary Tighe (née Blachford)","[Psyche] Canto IV."
bjb18-w0750,"Joanna Baillie",SONG.
bhw18-w0470,"Helen Maria Williams","TO MRS. K—, ON HER SENDING ME ENGLISH CHRISTMAS PLUMB-CAKE, AT PARIS."
peh89-w0060,"Elizabeth Hands (née Herbert)","A PASTORAL. [Young Damon gay, a faithful-hearted swain]"
o4987-w0050,"Sir James Marriott","TO A LADY SITTING FOR HER PICTURE."
o5157-w0073,"William Whitehead","ELEGY IV. To an OFFICER. Written at Rome, 1756."
par19-w0110,"Ann Radcliffe (née Ward)","MORNING, ON THE SEA-SHORE."
o3776-w0020,"Mark Akenside","ODE II. On the WINTER-SOLSTICE, M. D.CC.XL."
peh89-w0430,"Elizabeth Hands (née Herbert)","An ENIGMA."
o4987-w0400,"John Scott","HYMN FROM PSALM LXV."
o5154-w0050,"Robert Lowth","The CHOICE of HERCULES. A POEM."
o4739-w0150,"Hannah Cowley (née Parkhouse)","INVOCATION TO HORROR."
o5154-w0400,"Nicholas Herbert","MARRIAGE A-LA-MODE. OR THE TWO SPARROWS. A FABLE. From Mons. DE LA MOTTE, Book iv. Fable 21."
pik94-w0170,"Isabella Kelly (née Fordyce)","TO THE MEMORY OF THE HONORABLE MISS CAROLINE CAMPBEL."
o5153-w0630,"Isaac Hawkins Browne","ON A FIT of the GOUT."
bjb18-w0880,"Joanna Baillie","JOB XIII. 15."
o5247-w0150,"Charlotte Lennox (née Ramsay)","The ADVICE, An ODE."
pye85-w0160,"Ann Yearsley (née Cromartie)","On Mrs. MONTAGU."
o5153-w0260,"George Lyttelton, 1st Baron Lyttelton","To the Same."
o5153-w0775,"Thomas Edwards","SONNET VI."
pro75-w0190,"Mary Robinson (née Darby)","WRITTEN EXTEMPORE on the PICTURE of a FRIEND."
o4985-w0040,"William Collins","ODE TO SIMPLICITY."
bsb18-w0780,"Susanna Blamire","WHEN SEVEREST FOES IMPENDING."
o4985-w0410,"Joseph Warton","ODE TO HEALTH. WRITTEN ON A RECOVERY FROM THE SMALL-POX."
pmp18-w0810,"Matthew Prior","ANOTHER [Reasonable Affliction]."
o4741-w0040,"Stephen Duck","The SHUNAMMITE. To Mrs. STANLEY."
bmb97-w0230,"(Mary) Matilda Betham","TO M. I."
o5089-w0560,"William Hayward Roberts","THE POOR MAN's PRAYER. ADDRESSED TO LORD CHATHAM."
o4039-w0170,"Thomas Chatterton","THE COPERNICAN SYSTEM."
o4198-w0190,"Thomas Chatterton","CHATTERTON'S WILL. 1770."
o4741-w0410,"Stephen Duck","[Ad JOANNEM MILTONUM.]"
o5089-w0130,"David Mallet","ZEPHIR: or, the STRATAGEM."
pba35-w0130,"Mary Barber","To the Right Honble. the Lady Dowager Torrington, with some Verses her Ladyship commanded me to send her."
o5280-w0320,"George Monck Berkeley","FAREWELL STANZAS ON LEAVING COOKHAM, IN THE SPRING OF THE YEAR, 1781, WHEN MR. B. WAS NOT QUITE EIGHTEEN YEARS OLD, TWO YEARS AFTER HE LEFT ETON-SCHOOL."
pba35-w0560,"Mary Barber","Written at Bath to a young Lady, who had just before given me a short Answer."
bed98-w0750,"Eliza Day","POWER AND PROVIDENCE."
prc90-w0090,"Rebekah Carmichael (later Hay)","AN EPITAPH"
oar96-w0340,"Elizabeth Rowe (née Singer)","THE Female Passion,"
o3613-w0010,"James Boswell",ODE.
bed98-w0300,"Eliza Day","WIT AND JUDGMENT."
bah18-w0180,"Anne Hunter (née Home)",LAURA.
bse96-w0010,"Anna Seward","LLANGOLLEN VALE,"
o5125-w0060,"Mary Leapor","DAMON and STREPHON. A Pastoral Complaint."
o3900-w1300,"Rev. Charles Wesley","HYMN for the EPIPHANY."
pjo50-w0530,"Mary Jones","ODE To the Right Hon. Lady Henry Beauclerk."
o5125-w0430,"Mary Leapor","The PROPOSAL."
pmp18-w0390,"Matthew Prior","CLOE JEALOUS."
pjo50-w0160,"Mary Jones","On the Reasonableness of Her coming to the Oxford Act."
o5156-w0040,"William Shenstone","ODE to INDOLENCE, 1750."
o4784-w0670,"Anne Finch (née Kingsmill), countess of Winchilsea","The MAN and his HORSE."
bsb18-w0850,"Catherine Gilpin","THE VILLAGE CLUB."
o5156-w0410,"Joseph Giles","An EPITAPH."
o4784-w0220,"Anne Finch (née Kingsmill), countess of Winchilsea","The Hog, the Sheep, and Goat carrying to a FAIR."
o5454-w0340,"Isaac Watts","[MORAL SONG] I. The SLUGGARD."
bjl92-w0080,"Janet Little (later Richmond)","THE LOTTERY TICKET."
glb19-w0290,"William Lisle Bowles","APPROACH OF SUMMER."
o5154-w0070,"Glocester Ridley","PSYCHE: or the GREAT METAMORPHOSIS. A POEM, written in Imitation of SPENSER,"
o4739-w0170,"Hannah Cowley (née Parkhouse)","TO REUBEN."
o5156-w1190,Anonymous,ELEGY.
pse03-w0480,"Sarah Fyge Egerton","To Marina."
o5154-w0420,"Elizabeth Carter","ODE to WISDOM."
pmt18-w0280,"Mary Tighe (née Blachford)","Verses Written in Sickness. December, 1804."
pik94-w0150,"Isabella Kelly (née Fordyce)","IN THE BLANK LEAF OF LORD LYTTELTON'S WORKS."
o5153-w0610,"Isaac Hawkins Browne","ODE to the Hon. C. Y."
o5247-w0170,"Charlotte Lennox (née Ramsay)","An ODE To SLEEP"
pye85-w0140,"Ann Yearsley (née Cromartie)","TO THE Honourable H—E W—E, ON READING The CASTLE of OTRANTO. December, 1784."
o3900-w0680,"Rev. Charles Wesley","ACTS i. 4. Wait for the Promise of the Father, which ye have heard of me."
o5153-w0240,"George Lyttelton, 1st Baron Lyttelton","To the Same.  On her pleading want of Time."
o5157-w0680,"John Scott Hylton","True RESIGNATION."
o3900-w0950,"Rev. Charles Wesley","In AFFLICTION."
bjb18-w0320,"Joanna Baillie","THE KITTEN."
pma99-w0090,"Mary Alcock (née Cumberland)","ON THE HUMAN HEART."
bjb18-w0770,"Joanna Baillie",HYMN.
bhw18-w0450,"Helen Maria Williams","LINES WRITTEN ON THE PILLAR ERECTING TO THE MEMORY OF MR. BARLOW, Minister of the United States at Paris, WHO DIED AT NAROWITCH IN POLAND, ON HIS RETURN FROM WILNA, DEC. 26, 1812."
o4984-w0680,"George Bubb Dodington, Baron Melcombe","VERSES SENT BY LORD MELCOMBE TO DR. YOUNG, NOT LONG BEFORE HIS LORDSHIP'S DEATH."
peh89-w0040,"Elizabeth Hands (née Herbert)","WIT AND BEAUTY. A PASTORAL."
o4987-w0070,"Sir James Marriott","THE ACADEMIC. WRITTEN APRIL M.DCC.LV."
par19-w0130,"Ann Radcliffe (née Ward)",SUN-SET.
bao18-w0180,"Amelia Opie (née Alderson)","TO HENRY."
peh89-w0410,"Elizabeth Hands (née Herbert)","To THIRSIS, On his signifying his intention to lay aside his Hautboy."
o4987-w0420,"John Scott",SONNET.
ojg27-w0020,"John Gay","FABLE [01] I. The Lyon, the Tyger, and the Traveller."
glb19-w0910,"William Lisle Bowles","SOUTHAMPTON CASTLE.  INSCRIBED TO THE MARQUIS OF LANSDOWNE."
ojg27-w0470,"John Gay","FABLE [46] XLVI. The Cur, the Horse, and the Shepherd's Dog."
oat77-w0310,"Nahum Tate","Strephon's Complaint on quitting his Retirement."
o3555-w0110,"Anna Laetitia Barbauld  (née Aikin)","To WISDOM."
o4984-w0550,"John Scott","HYMN FROM PSALM VIII."
n22cs-w0430,"Charlotte Smith (née Turner)","SONNET [43] XLIII."
pma99-w0340,"Mary Alcock (née Cumberland)","THE AIR BALLOON."
n22cs-w0060,"Charlotte Smith (née Turner)","SONNET [06] VI. To Hope."
o4984-w0100,"John Delap","ELEGY I."
bao18-w0250,"Amelia Opie (née Alderson)","TO ANNA."
peh89-w0390,"Elizabeth Hands (née Herbert)","A SONG. [When Chloe, smiling, gave consent]"
oat77-w0490,"Nahum Tate","The Inconstant. A Paraphrase on the XV. Epod of Horace."
o3794-w0300,"William Cowper","A REFLECTION on the foregoing ODE."
o5157-w0045,"Mark Akenside","[Inscription]  VI. For a Column at RUNNYMEDE."
glb19-w0140,"William Lisle Bowles","THE CONVENT."
pro75-w0260,"Mary Robinson (née Darby)","The COMPLAINT."
bjl92-w0350,"Janet Little (later Richmond)","VERSES WRITTEN ON A FOREIGNER'S VISITING THE GRAVE OF A SWISS GENTLEMAN, BURIED AMONG THE DESCENDENTS OF SIR WILLIAM WALLACE, GUARDIAN OF SCOTLAND IN THE THIRTEENTH CENTURY."
glb19-w0510,"William Lisle Bowles","THE PHILANTHROPIC SOCIETY.  INSCRIBED TO THE DUKE OF LEEDS."
pse03-w0300,"Sarah Fyge Egerton","To Marcella."
